reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =         2.9522
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.4581 s  ( 15.516 % del total)
empaquetar AoS->SoA (host)                                  0.0492 s  (  1.665 % del total)
copia host->device (H2D)                                    0.0278 s  (  0.941 % del total)
lanza_pipeline (grafo CUDA, device)                         1.7971 s  ( 60.872 % del total)
copia device->host (D2H)                                    0.0347 s  (  1.175 % del total)
desempaquetar SoA->AoS (host)                               0.0568 s  (  1.925 % del total)
reparticion/compactacion                                    0.0260 s  (  0.880 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0003 s  (  0.012 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.4158 s  ( 14.083 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0065 s  (  0.221 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            0.1684 s  (  5.705 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4226 s  ( 14.316 % del total)
pasodmc_gpu_pipeline completo                               2.4801 s  ( 84.007 % del total)
otros (E/S por bloque, promedios...)                        0.0495 s  (  1.677 % del total)
