reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        39.0468
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0275 s  (  0.070 % del total)
empaquetar AoS->SoA (host)                                  1.2014 s  (  3.077 % del total)
copia host->device (H2D)                                    0.3382 s  (  0.866 % del total)
lanza_pipeline (grafo CUDA, device)                        32.9583 s  ( 84.407 % del total)
copia device->host (D2H)                                    0.5842 s  (  1.496 % del total)
desempaquetar SoA->AoS (host)                               2.0604 s  (  5.277 % del total)
reparticion/compactacion                                    0.5255 s  (  1.346 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0079 s  (  0.020 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0284 s  (  0.073 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.1223 s  (  0.313 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            4.1844 s  ( 10.716 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1586 s  (  0.406 % del total)
pasodmc_gpu_pipeline completo                              38.2297 s  ( 97.907 % del total)
otros (E/S por bloque, promedios...)                        0.6586 s  (  1.687 % del total)
