reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =         4.9131
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0001 s  (  0.002 % del total)
empaquetar AoS->SoA (host)                                  0.0029 s  (  0.060 % del total)
copia host->device (H2D)                                    0.0006 s  (  0.011 % del total)
lanza_pipeline (grafo CUDA, device)                         3.6167 s  ( 73.613 % del total)
copia device->host (D2H)                                    0.0012 s  (  0.025 % del total)
desempaquetar SoA->AoS (host)                               0.0045 s  (  0.092 % del total)
reparticion/compactacion                                    0.0013 s  (  0.027 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0000 s  (  0.000 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0009 s  (  0.018 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0002 s  (  0.004 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            0.0093 s  (  0.189 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0011 s  (  0.023 % del total)
pasodmc_gpu_pipeline completo                               3.6366 s  ( 74.018 % del total)
otros (E/S por bloque, promedios...)                        1.2754 s  ( 25.959 % del total)
