reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =       100.4158
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0359 s  (  0.036 % del total)
empaquetar AoS->SoA (host)                                  2.8427 s  (  2.831 % del total)
copia host->device (H2D)                                    0.6536 s  (  0.651 % del total)
lanza_pipeline (grafo CUDA, device)                        88.2936 s  ( 87.928 % del total)
copia device->host (D2H)                                    1.0618 s  (  1.057 % del total)
desempaquetar SoA->AoS (host)                               4.1529 s  (  4.136 % del total)
reparticion/compactacion                                    1.1394 s  (  1.135 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0227 s  (  0.023 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0189 s  (  0.019 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3117 s  (  0.310 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            8.7109 s  (  8.675 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.3533 s  (  0.352 % del total)
pasodmc_gpu_pipeline completo                              99.6748 s  ( 99.262 % del total)
otros (E/S por bloque, promedios...)                        0.3876 s  (  0.386 % del total)
