reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        29.7957
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0188 s  (  0.063 % del total)
empaquetar AoS->SoA (host)                                  0.3189 s  (  1.070 % del total)
copia host->device (H2D)                                    0.1948 s  (  0.654 % del total)
lanza_pipeline (grafo CUDA, device)                        27.2220 s  ( 91.362 % del total)
copia device->host (D2H)                                    0.3577 s  (  1.200 % del total)
desempaquetar SoA->AoS (host)                               0.9119 s  (  3.061 % del total)
reparticion/compactacion                                    0.1960 s  (  0.658 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0025 s  (  0.008 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0249 s  (  0.084 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0428 s  (  0.144 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            1.7833 s  (  5.985 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0703 s  (  0.236 % del total)
pasodmc_gpu_pipeline completo                              29.3910 s  ( 98.642 % del total)
otros (E/S por bloque, promedios...)                        0.3345 s  (  1.122 % del total)
