reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        45.9673
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0228 s  (  0.050 % del total)
empaquetar AoS->SoA (host)                                  0.8573 s  (  1.865 % del total)
copia host->device (H2D)                                    0.3192 s  (  0.694 % del total)
lanza_pipeline (grafo CUDA, device)                        41.1666 s  ( 89.556 % del total)
copia device->host (D2H)                                    0.5689 s  (  1.238 % del total)
desempaquetar SoA->AoS (host)                               1.8170 s  (  3.953 % del total)
reparticion/compactacion                                    0.3768 s  (  0.820 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0049 s  (  0.011 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0275 s  (  0.060 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0861 s  (  0.187 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            3.5623 s  (  7.750 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1186 s  (  0.258 % del total)
pasodmc_gpu_pipeline completo                              45.4911 s  ( 98.964 % del total)
otros (E/S por bloque, promedios...)                        0.3576 s  (  0.778 % del total)
