reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        45.9295
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0237 s  (  0.051 % del total)
empaquetar AoS->SoA (host)                                  1.0432 s  (  2.271 % del total)
copia host->device (H2D)                                    0.3200 s  (  0.697 % del total)
lanza_pipeline (grafo CUDA, device)                        38.3131 s  ( 83.417 % del total)
copia device->host (D2H)                                    0.5744 s  (  1.251 % del total)
desempaquetar SoA->AoS (host)                               1.8900 s  (  4.115 % del total)
reparticion/compactacion                                    0.4412 s  (  0.961 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0067 s  (  0.015 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0270 s  (  0.059 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.1150 s  (  0.250 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            3.8276 s  (  8.334 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1487 s  (  0.324 % del total)
pasodmc_gpu_pipeline completo                              43.0283 s  ( 93.683 % del total)
otros (E/S por bloque, promedios...)                        2.7525 s  (  5.993 % del total)
