reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        99.9177
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0529 s  (  0.053 % del total)
empaquetar AoS->SoA (host)                                  5.0708 s  (  5.075 % del total)
copia host->device (H2D)                                    0.9758 s  (  0.977 % del total)
lanza_pipeline (grafo CUDA, device)                        81.1806 s  ( 81.247 % del total)
copia device->host (D2H)                                    1.3771 s  (  1.378 % del total)
desempaquetar SoA->AoS (host)                               6.3860 s  (  6.391 % del total)
reparticion/compactacion                                    1.6708 s  (  1.672 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0351 s  (  0.035 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0287 s  (  0.029 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3857 s  (  0.386 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           13.8097 s  ( 13.821 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4495 s  (  0.450 % del total)
pasodmc_gpu_pipeline completo                              99.0247 s  ( 99.106 % del total)
otros (E/S por bloque, promedios...)                        0.4434 s  (  0.444 % del total)
