reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =       111.9714
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0552 s  (  0.049 % del total)
empaquetar AoS->SoA (host)                                  5.3726 s  (  4.798 % del total)
copia host->device (H2D)                                    1.0230 s  (  0.914 % del total)
lanza_pipeline (grafo CUDA, device)                        92.5630 s  ( 82.667 % del total)
copia device->host (D2H)                                    1.4416 s  (  1.287 % del total)
desempaquetar SoA->AoS (host)                               6.4646 s  (  5.773 % del total)
reparticion/compactacion                                    1.7722 s  (  1.583 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0375 s  (  0.033 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0279 s  (  0.025 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.4137 s  (  0.369 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           14.3019 s  ( 12.773 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4790 s  (  0.428 % del total)
pasodmc_gpu_pipeline completo                             111.0354 s  ( 99.164 % del total)
otros (E/S por bloque, promedios...)                        0.4569 s  (  0.408 % del total)
