reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        73.9108
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0374 s  (  0.051 % del total)
empaquetar AoS->SoA (host)                                  2.8407 s  (  3.843 % del total)
copia host->device (H2D)                                    0.6196 s  (  0.838 % del total)
lanza_pipeline (grafo CUDA, device)                        62.2786 s  ( 84.262 % del total)
copia device->host (D2H)                                    1.0227 s  (  1.384 % del total)
desempaquetar SoA->AoS (host)                               4.2031 s  (  5.687 % del total)
reparticion/compactacion                                    0.9817 s  (  1.328 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0187 s  (  0.025 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0273 s  (  0.037 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.2079 s  (  0.281 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            8.6861 s  ( 11.752 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.2539 s  (  0.343 % del total)
pasodmc_gpu_pipeline completo                              73.2588 s  ( 99.118 % del total)
otros (E/S por bloque, promedios...)                        0.3982 s  (  0.539 % del total)
