reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        85.3092
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0271 s  (  0.032 % del total)
empaquetar AoS->SoA (host)                                  0.9825 s  (  1.152 % del total)
copia host->device (H2D)                                    9.3188 s  ( 10.924 % del total)
lanza_pipeline (grafo CUDA, device)                        71.1741 s  ( 83.431 % del total)
copia device->host (D2H)                                    0.5444 s  (  0.638 % del total)
desempaquetar SoA->AoS (host)                               1.8446 s  (  2.162 % del total)
reparticion/compactacion                                    0.4270 s  (  0.500 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0061 s  (  0.007 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0240 s  (  0.028 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0962 s  (  0.113 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           12.6903 s  ( 14.876 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1263 s  (  0.148 % del total)
pasodmc_gpu_pipeline completo                              84.8345 s  ( 99.444 % del total)
otros (E/S por bloque, promedios...)                        0.3483 s  (  0.408 % del total)
