tiempo total instrumentado (suma de metodos), s =        49.5994

iniimagina              0.0000 s  (  0.000%)
dmcnumprop              0.0000 s  (  0.000%)
densgethis              0.0000 s  (  0.000%)
difusgethis             0.0000 s  (  0.000%)
dmcescrini              0.0000 s  (  0.000%)
dmcceroini              0.0000 s  (  0.000%)
densceroini             0.0012 s  (  0.002%)
difusceroini            0.0336 s  (  0.068%)
dmcceroblo              0.0000 s  (  0.000%)
densceroblo             0.0050 s  (  0.010%)
resetea_histogramas_gpu (nuevo)      2.6178 s  (  5.278%)
difusceroblo            0.1310 s  (  0.264%)
difusfijaorigen         0.0073 s  (  0.015%)
pasodmc_gpu_pipeline (=pasodmc)     46.5849 s  ( 93.922%)
dmcsumapaso             0.0065 s  (  0.013%)
difussumapaso           0.1110 s  (  0.224%)
vuelca_histogramas_gpu (=denssumapaso, por BLOQUE)      0.0268 s  (  0.054%)
dmcsumablo              0.0000 s  (  0.000%)
denssumablo             0.0145 s  (  0.029%)
difussumablo            0.0001 s  (  0.000%)
dmcescrblopar           0.0038 s  (  0.008%)
dmcsumaproc             0.0002 s  (  0.000%)
denssumaproc            0.0001 s  (  0.000%)
difussumaproc           0.0000 s  (  0.000%)
dmcsumafin              0.0000 s  (  0.000%)
dmcescrfin              0.0000 s  (  0.000%)
denssumafin             0.0001 s  (  0.000%)
densescrfin             0.0553 s  (  0.112%)
difusfin                0.0003 s  (  0.001%)
