tiempo total instrumentado (suma de metodos), s =         4.3255

iniimagina              0.0000 s  (  0.000%)
dmcnumprop              0.0000 s  (  0.000%)
densgethis              0.0000 s  (  0.000%)
difusgethis             0.0000 s  (  0.000%)
dmcescrini              0.0000 s  (  0.000%)
dmcceroini              0.0000 s  (  0.000%)
densceroini             0.0005 s  (  0.012%)
difusceroini            0.0123 s  (  0.284%)
dmcceroblo              0.0000 s  (  0.000%)
densceroblo             0.0005 s  (  0.012%)
resetea_histogramas_gpu (nuevo)      0.3688 s  (  8.527%)
difusceroblo            0.0109 s  (  0.252%)
difusfijaorigen         0.0007 s  (  0.016%)
pasodmc_gpu_pipeline (=pasodmc)      3.8594 s  ( 89.226%)
dmcsumapaso             0.0004 s  (  0.010%)
difussumapaso           0.0075 s  (  0.174%)
vuelca_histogramas_gpu (=denssumapaso, por BLOQUE)      0.0026 s  (  0.059%)
dmcsumablo              0.0000 s  (  0.000%)
denssumablo             0.0011 s  (  0.026%)
difussumablo            0.0000 s  (  0.000%)
dmcescrblopar           0.0003 s  (  0.006%)
dmcsumaproc             0.0002 s  (  0.005%)
denssumaproc            0.0001 s  (  0.003%)
difussumaproc           0.0000 s  (  0.000%)
dmcsumafin              0.0000 s  (  0.000%)
dmcescrfin              0.0000 s  (  0.001%)
denssumafin             0.0001 s  (  0.003%)
densescrfin             0.0594 s  (  1.374%)
difusfin                0.0004 s  (  0.010%)
