reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =         3.7604
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0032 s  (  0.084 % del total)
empaquetar AoS->SoA (host)                                  0.1422 s  (  3.781 % del total)
copia host->device (H2D)                                    0.0352 s  (  0.937 % del total)
lanza_pipeline (grafo CUDA, device)                         2.7305 s  ( 72.611 % del total)
copia device->host (D2H)                                    0.0539 s  (  1.434 % del total)
desempaquetar SoA->AoS (host)                               0.2153 s  (  5.725 % del total)
reparticion/compactacion                                    0.0468 s  (  1.245 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0008 s  (  0.021 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0023 s  (  0.062 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0105 s  (  0.279 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            0.4466 s  ( 11.877 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0136 s  (  0.362 % del total)
pasodmc_gpu_pipeline completo                               3.2975 s  ( 87.689 % del total)
otros (E/S por bloque, promedios...)                        0.4493 s  ( 11.949 % del total)
