reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =         2.8868
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0003 s  (  0.011 % del total)
empaquetar AoS->SoA (host)                                  0.0058 s  (  0.202 % del total)
copia host->device (H2D)                                    0.0015 s  (  0.051 % del total)
lanza_pipeline (grafo CUDA, device)                         0.1456 s  (  5.043 % del total)
copia device->host (D2H)                                    0.0028 s  (  0.096 % del total)
desempaquetar SoA->AoS (host)                               0.0091 s  (  0.317 % del total)
reparticion/compactacion                                    0.0038 s  (  0.132 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0000 s  (  0.002 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0024 s  (  0.084 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0007 s  (  0.026 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            0.0192 s  (  0.665 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0032 s  (  0.111 % del total)
pasodmc_gpu_pipeline completo                               0.1819 s  (  6.301 % del total)
otros (E/S por bloque, promedios...)                        2.7017 s  ( 93.588 % del total)
