==PROF== Connected to process 7953 (/home/blanca/Documentos/Universidad/TFG-CUDA/Repostorio/DMC/v3-cuda-optimización/fase1-bloque-por-walker/prueba_aislada/test_bloque_walker)
muestra kin_solo(1)   = 6.52703767461682531E+01
muestra kin_bloque(1) = 6.52703767461682531E+01
n walkers = 1500
 PASA: _solo y _bloque dan EXACTAMENTE los mismos resultados
==PROF== Disconnected from process 7953
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","550.816"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","47"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","60"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,08"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","65,27"
"0","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","4,09"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","550.688"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","47"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","60"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,08"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","65,29"
"1","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","4,09"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","550.784"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","47"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","60"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,08"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","65,27"
"2","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","4,09"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","550.240"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","47"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","60"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,08"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","65,34"
"3","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","4,09"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","550.048"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","47"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","60"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,08"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","65,36"
"4","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","4,09"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","675.520"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","1.500"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","52"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","2,60"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","83,34"
"5","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45,44"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","675.488"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","1.500"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","52"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","2,60"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","83,34"
"6","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45,46"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","675.648"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","1.500"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","52"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","2,60"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","83,32"
"7","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45,43"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","675.712"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","1.500"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","52"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","2,60"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","83,31"
"8","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45,49"
"9","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","675.808"
"9","7953","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_bloque_","1","7","(32, 1, 1)","(1500, 1, 1)","0","8.9","Command line profiler metrics","launch__block_size","","32"
