==PROF== Connected to process 11640 (/home/blanca/Documentos/Universidad/TFG-CUDA/Repostorio/DMC/v3-cuda-optimización/fase1-bloque-por-walker/prueba_aislada/test_bloque_walker)
muestra kin_solo(1)   = 1.52064453299338538E+03
muestra kin_bloque(1) = 1.52064453299338538E+03
muestra kin_arbol(1)  = 1.52064453299338538E+03
muestra kin_grupo(1)  = 1.52064453299338538E+03
muestra kin_multi(1)  = 1.52064453299338538E+03
n walkers = 1500
atomos_por_hilo = 1
walkers_por_bloque = 16
 PASA: _solo, _bloque, _arbol, _grupo y _multi dan los mismos resultados (con tolerancia numerica donde aplica)
==PROF== Disconnected from process 11640
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","14.100.224"
"0","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","47"
"0","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","60"
"0","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,08"
"0","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","66,79"
"0","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_solo_","1","7","(32, 1, 1)","(47, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","4,09"
"1","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_multiwalker_","1","7","(32, 1, 1)","(94, 1, 1)","0","8.9","Command line profiler metrics","gpu__time_duration.sum","nsecond","11.775.520"
"1","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_multiwalker_","1","7","(32, 1, 1)","(94, 1, 1)","0","8.9","Command line profiler metrics","launch__grid_size","","94"
"1","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_multiwalker_","1","7","(32, 1, 1)","(94, 1, 1)","0","8.9","Command line profiler metrics","launch__registers_per_thread","register/thread","64"
"1","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_multiwalker_","1","7","(32, 1, 1)","(94, 1, 1)","0","8.9","Command line profiler metrics","launch__waves_per_multiprocessor","","0,16"
"1","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_multiwalker_","1","7","(32, 1, 1)","(94, 1, 1)","0","8.9","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","83,79"
"1","11640","test_bloque_walker","127.0.0.1","mtest_bloque_walker_k_multiwalker_","1","7","(32, 1, 1)","(94, 1, 1)","0","8.9","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","8,19"
