reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        13.3284
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     2.6150 s  ( 19.619 % del total)
empaquetar AoS->SoA (host)                                  0.5787 s  (  4.342 % del total)
copia host->device (H2D)                                    0.1009 s  (  0.757 % del total)
lanza_pipeline (grafo CUDA, device)                         6.3125 s  ( 47.361 % del total)
copia device->host (D2H)                                    0.1130 s  (  0.848 % del total)
desempaquetar SoA->AoS (host)                               0.5228 s  (  3.922 % del total)
reparticion/compactacion                                    0.1608 s  (  1.206 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0029 s  (  0.022 % del total)
denssumapaso (densidades, O(natom^2)/walker)                2.6596 s  ( 19.954 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0666 s  (  0.500 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            1.3154 s  (  9.869 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             2.7291 s  ( 20.476 % del total)
pasodmc_gpu_pipeline completo                              10.5510 s  ( 79.162 % del total)
otros (E/S por bloque, promedios...)                        0.0483 s  (  0.362 % del total)
