reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =         2.9361
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.4658 s  ( 15.866 % del total)
empaquetar AoS->SoA (host)                                  0.0446 s  (  1.518 % del total)
copia host->device (H2D)                                    0.0262 s  (  0.892 % del total)
lanza_pipeline (grafo CUDA, device)                         1.7958 s  ( 61.162 % del total)
copia device->host (D2H)                                    0.0342 s  (  1.165 % del total)
desempaquetar SoA->AoS (host)                               0.0550 s  (  1.875 % del total)
reparticion/compactacion                                    0.0249 s  (  0.847 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0004 s  (  0.012 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.4047 s  ( 13.782 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0063 s  (  0.216 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            0.1600 s  (  5.450 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4113 s  ( 14.010 % del total)
pasodmc_gpu_pipeline completo                               2.4751 s  ( 84.300 % del total)
otros (E/S por bloque, promedios...)                        0.0496 s  (  1.691 % del total)
