reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        59.9853
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0242 s  (  0.040 % del total)
empaquetar AoS->SoA (host)                                  1.3260 s  (  2.211 % del total)
copia host->device (H2D)                                    0.4209 s  (  0.702 % del total)
lanza_pipeline (grafo CUDA, device)                        51.0461 s  ( 85.098 % del total)
copia device->host (D2H)                                    0.6181 s  (  1.030 % del total)
desempaquetar SoA->AoS (host)                               2.1408 s  (  3.569 % del total)
reparticion/compactacion                                    0.5927 s  (  0.988 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0115 s  (  0.019 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0158 s  (  0.026 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.1792 s  (  0.299 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            4.5058 s  (  7.512 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.2064 s  (  0.344 % del total)
pasodmc_gpu_pipeline completo                              56.8831 s  ( 94.828 % del total)
otros (E/S por bloque, promedios...)                        2.8958 s  (  4.827 % del total)
