reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =       138.6775
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0436 s  (  0.031 % del total)
empaquetar AoS->SoA (host)                                  4.1732 s  (  3.009 % del total)
copia host->device (H2D)                                    0.8816 s  (  0.636 % del total)
lanza_pipeline (grafo CUDA, device)                       121.6225 s  ( 87.702 % del total)
copia device->host (D2H)                                    1.3845 s  (  0.998 % del total)
desempaquetar SoA->AoS (host)                               6.0500 s  (  4.363 % del total)
reparticion/compactacion                                    1.5377 s  (  1.109 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0290 s  (  0.021 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0272 s  (  0.020 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3288 s  (  0.237 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           12.4892 s  (  9.006 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.3850 s  (  0.278 % del total)
pasodmc_gpu_pipeline completo                             137.8140 s  ( 99.377 % del total)
otros (E/S por bloque, promedios...)                        0.4785 s  (  0.345 % del total)
