reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        86.4417
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0415 s  (  0.048 % del total)
empaquetar AoS->SoA (host)                                  4.1598 s  (  4.812 % del total)
copia host->device (H2D)                                    0.8692 s  (  1.005 % del total)
lanza_pipeline (grafo CUDA, device)                        69.5389 s  ( 80.446 % del total)
copia device->host (D2H)                                    1.3884 s  (  1.606 % del total)
desempaquetar SoA->AoS (host)                               5.9785 s  (  6.916 % del total)
reparticion/compactacion                                    1.5359 s  (  1.777 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0331 s  (  0.038 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0274 s  (  0.032 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3405 s  (  0.394 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           12.3959 s  ( 14.340 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4011 s  (  0.464 % del total)
pasodmc_gpu_pipeline completo                              85.5938 s  ( 99.019 % del total)
otros (E/S por bloque, promedios...)                        0.4468 s  (  0.517 % del total)
