reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =         3.7106
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0001 s  (  0.002 % del total)
empaquetar AoS->SoA (host)                                  0.0020 s  (  0.053 % del total)
copia host->device (H2D)                                    0.0005 s  (  0.014 % del total)
lanza_pipeline (grafo CUDA, device)                         0.5874 s  ( 15.830 % del total)
copia device->host (D2H)                                    0.0010 s  (  0.028 % del total)
desempaquetar SoA->AoS (host)                               0.0035 s  (  0.094 % del total)
reparticion/compactacion                                    0.0007 s  (  0.020 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0000 s  (  0.000 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0012 s  (  0.033 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0002 s  (  0.005 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            0.0070 s  (  0.189 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0014 s  (  0.039 % del total)
pasodmc_gpu_pipeline completo                               0.6024 s  ( 16.235 % del total)
otros (E/S por bloque, promedios...)                        3.1068 s  ( 83.726 % del total)
