reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =       105.3729
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0451 s  (  0.043 % del total)
empaquetar AoS->SoA (host)                                  4.4775 s  (  4.249 % del total)
copia host->device (H2D)                                    0.9008 s  (  0.855 % del total)
lanza_pipeline (grafo CUDA, device)                        87.9042 s  ( 83.422 % del total)
copia device->host (D2H)                                    1.3742 s  (  1.304 % del total)
desempaquetar SoA->AoS (host)                               6.1532 s  (  5.839 % del total)
reparticion/compactacion                                    1.5582 s  (  1.479 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0331 s  (  0.031 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0275 s  (  0.026 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3567 s  (  0.338 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           12.9057 s  ( 12.248 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4172 s  (  0.396 % del total)
pasodmc_gpu_pipeline completo                             104.5274 s  ( 99.198 % del total)
otros (E/S por bloque, promedios...)                        0.4283 s  (  0.406 % del total)
