reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =       105.8021
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0460 s  (  0.044 % del total)
empaquetar AoS->SoA (host)                                  4.5227 s  (  4.275 % del total)
copia host->device (H2D)                                    0.9157 s  (  0.865 % del total)
lanza_pipeline (grafo CUDA, device)                        88.0874 s  ( 83.257 % del total)
copia device->host (D2H)                                    1.3992 s  (  1.322 % del total)
desempaquetar SoA->AoS (host)                               6.2717 s  (  5.928 % del total)
reparticion/compactacion                                    1.5708 s  (  1.485 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0285 s  (  0.027 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0282 s  (  0.027 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3377 s  (  0.319 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           13.1092 s  ( 12.390 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.3944 s  (  0.373 % del total)
pasodmc_gpu_pipeline completo                             104.9615 s  ( 99.205 % del total)
otros (E/S por bloque, promedios...)                        0.4463 s  (  0.422 % del total)
