reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        70.3400
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0437 s  (  0.062 % del total)
empaquetar AoS->SoA (host)                                  2.8864 s  (  4.103 % del total)
copia host->device (H2D)                                    0.6450 s  (  0.917 % del total)
lanza_pipeline (grafo CUDA, device)                        58.5751 s  ( 83.274 % del total)
copia device->host (D2H)                                    1.0412 s  (  1.480 % del total)
desempaquetar SoA->AoS (host)                               4.2357 s  (  6.022 % del total)
reparticion/compactacion                                    1.0160 s  (  1.444 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0165 s  (  0.023 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0286 s  (  0.041 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.2091 s  (  0.297 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            8.8083 s  ( 12.523 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.2542 s  (  0.361 % del total)
pasodmc_gpu_pipeline completo                              69.6987 s  ( 99.088 % del total)
otros (E/S por bloque, promedios...)                        0.3872 s  (  0.550 % del total)
