reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        46.3891
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0241 s  (  0.052 % del total)
empaquetar AoS->SoA (host)                                  0.9890 s  (  2.132 % del total)
copia host->device (H2D)                                    0.3272 s  (  0.705 % del total)
lanza_pipeline (grafo CUDA, device)                        41.2224 s  ( 88.862 % del total)
copia device->host (D2H)                                    0.5877 s  (  1.267 % del total)
desempaquetar SoA->AoS (host)                               1.9648 s  (  4.235 % del total)
reparticion/compactacion                                    0.4116 s  (  0.887 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0050 s  (  0.011 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0281 s  (  0.061 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0876 s  (  0.189 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            3.8687 s  (  8.340 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1207 s  (  0.260 % del total)
pasodmc_gpu_pipeline completo                              45.9237 s  ( 98.997 % del total)
otros (E/S por bloque, promedios...)                        0.3447 s  (  0.743 % del total)
