reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        46.6527
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0329 s  (  0.071 % del total)
empaquetar AoS->SoA (host)                                  1.2640 s  (  2.709 % del total)
copia host->device (H2D)                                    0.3417 s  (  0.733 % del total)
lanza_pipeline (grafo CUDA, device)                        38.3838 s  ( 82.276 % del total)
copia device->host (D2H)                                    0.5963 s  (  1.278 % del total)
desempaquetar SoA->AoS (host)                               2.0890 s  (  4.478 % del total)
reparticion/compactacion                                    0.4995 s  (  1.071 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0074 s  (  0.016 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0283 s  (  0.061 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.1151 s  (  0.247 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            4.2909 s  (  9.198 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1508 s  (  0.323 % del total)
pasodmc_gpu_pipeline completo                              43.7448 s  ( 93.767 % del total)
otros (E/S por bloque, promedios...)                        2.7570 s  (  5.910 % del total)
