reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        30.3401
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0193 s  (  0.063 % del total)
empaquetar AoS->SoA (host)                                  0.3615 s  (  1.191 % del total)
copia host->device (H2D)                                    0.1941 s  (  0.640 % del total)
lanza_pipeline (grafo CUDA, device)                        27.6563 s  ( 91.155 % del total)
copia device->host (D2H)                                    0.3557 s  (  1.173 % del total)
desempaquetar SoA->AoS (host)                               0.9366 s  (  3.087 % del total)
reparticion/compactacion                                    0.2225 s  (  0.733 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0027 s  (  0.009 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0270 s  (  0.089 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0459 s  (  0.151 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            1.8479 s  (  6.091 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0756 s  (  0.249 % del total)
pasodmc_gpu_pipeline completo                              29.9250 s  ( 98.632 % del total)
otros (E/S por bloque, promedios...)                        0.3394 s  (  1.119 % del total)
