reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =       109.2418
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0509 s  (  0.047 % del total)
empaquetar AoS->SoA (host)                                  4.7136 s  (  4.315 % del total)
copia host->device (H2D)                                    0.9509 s  (  0.870 % del total)
lanza_pipeline (grafo CUDA, device)                        91.0460 s  ( 83.343 % del total)
copia device->host (D2H)                                    1.4155 s  (  1.296 % del total)
desempaquetar SoA->AoS (host)                               6.2373 s  (  5.710 % del total)
reparticion/compactacion                                    1.6654 s  (  1.524 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0347 s  (  0.032 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0282 s  (  0.026 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.3740 s  (  0.342 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)           13.3173 s  ( 12.191 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.4370 s  (  0.400 % del total)
pasodmc_gpu_pipeline completo                             108.3605 s  ( 99.193 % del total)
otros (E/S por bloque, promedios...)                        0.4443 s  (  0.407 % del total)
