reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        31.7019
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0177 s  (  0.056 % del total)
empaquetar AoS->SoA (host)                                  0.2850 s  (  0.899 % del total)
copia host->device (H2D)                                    0.1893 s  (  0.597 % del total)
lanza_pipeline (grafo CUDA, device)                        29.2167 s  ( 92.161 % del total)
copia device->host (D2H)                                    0.3461 s  (  1.092 % del total)
desempaquetar SoA->AoS (host)                               0.8926 s  (  2.816 % del total)
reparticion/compactacion                                    0.1804 s  (  0.569 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0023 s  (  0.007 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0250 s  (  0.079 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0421 s  (  0.133 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            1.7130 s  (  5.403 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0695 s  (  0.219 % del total)
pasodmc_gpu_pipeline completo                              31.2879 s  ( 98.694 % del total)
otros (E/S por bloque, promedios...)                        0.3445 s  (  1.087 % del total)
