reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        35.1383
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0210 s  (  0.060 % del total)
empaquetar AoS->SoA (host)                                  0.4207 s  (  1.197 % del total)
copia host->device (H2D)                                    0.2004 s  (  0.570 % del total)
lanza_pipeline (grafo CUDA, device)                        29.8670 s  ( 84.998 % del total)
copia device->host (D2H)                                    0.3637 s  (  1.035 % del total)
desempaquetar SoA->AoS (host)                               0.9559 s  (  2.720 % del total)
reparticion/compactacion                                    0.2572 s  (  0.732 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0034 s  (  0.010 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0271 s  (  0.077 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.0600 s  (  0.171 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            1.9406 s  (  5.523 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.0905 s  (  0.257 % del total)
pasodmc_gpu_pipeline completo                              32.3058 s  ( 91.939 % del total)
otros (E/S por bloque, promedios...)                        2.7420 s  (  7.804 % del total)
