reparto de tiempos, opcion=7 (GPU, pipeline de 7 fases)
tiempo total (bucle bloques+pasos), s =        49.5153
 
-- dentro de pasodmc_gpu_pipeline --
sincroniza_globales_gpu                                     0.0262 s  (  0.053 % del total)
empaquetar AoS->SoA (host)                                  1.0208 s  (  2.062 % del total)
copia host->device (H2D)                                    0.3334 s  (  0.673 % del total)
lanza_pipeline (grafo CUDA, device)                        41.7900 s  ( 84.398 % del total)
copia device->host (D2H)                                    0.5850 s  (  1.181 % del total)
desempaquetar SoA->AoS (host)                               1.9210 s  (  3.880 % del total)
reparticion/compactacion                                    0.4547 s  (  0.918 % del total)
 
-- fuera de pasodmc_gpu_pipeline, en el bucle de pasos --
dmcsumapaso (energias)                                      0.0062 s  (  0.013 % del total)
denssumapaso (densidades, O(natom^2)/walker)                0.0267 s  (  0.054 % del total)
difussumapaso (difusion, solo primeros ndifus pasos)        0.1107 s  (  0.224 % del total)
 
CONVERSION AoS<->SoA total (pack+H2D+D2H+unpack)            3.8602 s  (  7.796 % del total)
ESTADISTICAS total (dmcsuma+denssuma+difussuma)             0.1437 s  (  0.290 % del total)
pasodmc_gpu_pipeline completo                              46.5752 s  ( 94.062 % del total)
otros (E/S por bloque, promedios...)                        2.7964 s  (  5.647 % del total)
